model_name, maze_name, pause_location, pause_time, mean_time_distracted, time_thinking, sd_time_distracted
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 270.0, 95.03794992410015, 174.96205007589987
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 200.0, 71.96897606204787, 128.0310239379521
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 370.0, 169.251641496717, 200.748358503283
shuffle, 7_by_7_maze_4, Coordinate(7; 1), 200.0, 101.89281621436757, 98.10718378563243
shuffle, 7_by_7_maze_4, Coordinate(4; 1), 200.0, 61.57915684168632, 138.4208431583137
shuffle, 7_by_7_maze_4, Coordinate(6; 3), 200.0, 139.81996036007928, 60.18003963992072
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 320.0, 63.09163381673237, 256.9083661832676
shuffle, 10_by_10_maze_2, Coordinate(10; 2), 320.0, 117.93594412811174, 202.06405587188826
shuffle, 10_by_10_maze_2, Coordinate(6; 1), 320.0, 60.558538882922235, 259.4414611170778
shuffle, 10_by_10_maze_2, Coordinate(10; 8), 320.0, 261.3283373433253, 58.6716626566747
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 400.0, 115.14826970346058, 284.8517302965394
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 200.0, 19.48490103019794, 180.51509896980207, 19.007895004988193
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 500.0, 148.18362363275273, 351.81637636724724, 98.4186616973329
shuffle, 15_by_15_maze_6, Coordinate(1; 3), 320.0, 147.3963452073096, 172.6036547926904, 49.94570219911283
shuffle, 15_by_15_maze_6, Coordinate(1; 3), 320.0, 153.0809876760493, 166.9190123239507, 46.57378529784853
shuffle, 15_by_15_maze_6, Coordinate(5; 14), 320.0, 68.77196491214035, 251.22803508785967, 49.85139841359221
shuffle, 15_by_15_maze_6, Coordinate(7; 15), 320.0, 152.8377086491654, 167.1622913508346, 56.53136277688775
shuffle, 15_by_15_maze_6, Coordinate(12; 1), 320.0, 0.4551181795272819, 319.5448818204727, 4.450895035173661
shuffle, 15_by_15_maze_6, Coordinate(1; 3), 160.0, 25.669257322970708, 134.3307426770293, 21.12583709214924
shuffle, 15_by_15_maze_6, Coordinate(5; 15), 320.0, 87.02637189451241, 232.9736281054876, 16.40734897905197
shuffle, 15_by_15_maze_6, Coordinate(7; 5), 320.0, 16.83249267002932, 303.1675073299707, 11.950885204961653
shuffle, 15_by_15_maze_6, Coordinate(12; 1), 160.0, 33.654665381338475, 126.34533461866152, 20.007712700959345
