stim,maze_name,pause_location,pause_time,n,empirical_stat,ci_lower,mean,ci_upper
10_(10;2)_320,10_by_10_maze_2,(10;2),320,50,1.247507156950166,1.1063827427062658,1.2483917148511616,1.3735525400527646
10_(10;8)_320,10_by_10_maze_2,(10;8),320,50,0.8096380707231929,0.5848033545260576,0.8093817086426062,1.0279356825510222
10_(6;1)_320,10_by_10_maze_2,(6;1),320,50,0.06784374338766543,-0.15855766963763276,0.06792404095671394,0.296189919895613
10_(7;1)_200,10_by_10_maze_2,(7;1),200,50,-0.665504456111359,-0.8462077830312589,-0.666285002335805,-0.48601819653178113
10_(7;1)_320,10_by_10_maze_2,(7;1),320,50,-0.5581869932126924,-0.7195195301903253,-0.5621969380662106,-0.39249162258921466
10_(7;1)_500,10_by_10_maze_2,(7;1),500,50,-0.12989643183579702,-0.35673375372616234,-0.12528357844675753,0.10041702781768345
15_(1;3)_160,15_by_15_maze_6,(1;3),160,50,-0.7165587091312754,-0.8684155921410521,-0.7179206616941843,-0.56780495588145
15_(1;3)_320,15_by_15_maze_6,(1;3),320,50,-0.7288373769141633,-0.8514488180920614,-0.7290760410098844,-0.600178391151419
15_(10;11)_320,15_by_15_maze_6,(10;11),320,50,-0.3171643871418397,-0.5024073005290883,-0.31485285224727133,-0.1034424347198509
15_(12;1)_160,15_by_15_maze_6,(12;1),160,50,-0.4468132808801682,-0.6799002438005093,-0.4458758013462075,-0.19369544587655788
15_(12;1)_320,15_by_15_maze_6,(12;1),320,50,-0.38795504548434145,-0.5527472786407119,-0.38797366750746043,-0.19341421938850437
15_(3;5)_320,15_by_15_maze_6,(3;5),320,50,0.7107419889152082,0.4907337579814842,0.7064679698085842,0.9060383558441347
15_(5;14)_320,15_by_15_maze_6,(5;14),320,50,-0.36694176507932824,-0.5852552535672513,-0.36426614329868545,-0.11970559214267028
15_(5;15)_320,15_by_15_maze_6,(5;15),320,50,-0.4574019268838764,-0.6473842312707929,-0.46130639827444775,-0.26197837628519915
15_(6;7)_320,15_by_15_maze_6,(6;7),320,50,-0.571437565407709,-0.751689650234237,-0.5713842503011759,-0.37466101611166475
15_(7;15)_320,15_by_15_maze_6,(7;15),320,50,0.889289440018766,0.6198831189647196,0.8902761321776674,1.1378545664262347
15_(7;5)_320,15_by_15_maze_6,(7;5),320,50,0.7148382962427218,0.44903658571345684,0.7060137428840364,0.9650368250091707
15_(7;7)_320,15_by_15_maze_6,(7;7),320,50,-0.2243448810990738,-0.46326188967553533,-0.22859039019735305,0.0072788772042289675
7_(4;1)_200,7_by_7_maze_4,(4;1),200,50,0.1364021160372452,-0.13552624288068793,0.13461359274164922,0.40227123381310975
7_(5;1)_200,7_by_7_maze_4,(5;1),200,50,-0.49624438703970275,-0.6602597762171624,-0.4943607939952236,-0.31343986719212985
7_(5;1)_320,7_by_7_maze_4,(5;1),320,50,-0.27278355249943853,-0.5161549906528202,-0.27621827138561517,-0.019405246087505792
7_(6;3)_200,7_by_7_maze_4,(6;3),200,50,0.8520349503490081,0.6057087969385231,0.8491790327185708,1.0687237139943362
7_(7;1)_200,7_by_7_maze_4,(7;1),200,50,0.9117749960967916,0.6989714639642194,0.9089396467461779,1.1242557394811963
