stim,maze_name,pause_location,pause_time,avg_z_proportion_distracted,sd_z_proportion_distracted,lower_ci,upper_ci
10_(10;2)_320,10_by_10_maze_2,(10;2),320,1.030999165697261,0.5461316354333744,-0.03941883975215288,2.101417171146675
10_(10;8)_320,10_by_10_maze_2,(10;8),320,0.7441456845176444,0.6664789243864465,-0.5621530072797907,2.0504443763150793
10_(6;1)_320,10_by_10_maze_2,(6;1),320,0.01756423004391148,0.8794537880962005,-1.7061651946246414,1.7412936547124642
10_(7;1)_200,10_by_10_maze_2,(7;1),200,-0.645450088781722,0.6781375889489498,-1.9745997631216636,0.6836995855582195
10_(7;1)_320,10_by_10_maze_2,(7;1),320,-0.49240081644601436,0.7876232193661391,-2.036142326403647,1.0513406935116183
10_(7;1)_500,10_by_10_maze_2,(7;1),500,0.19156815995226067,0.8349276627441535,-1.44489005902628,1.8280263789308016
15_(1;3)_160,15_by_15_maze_6,(1;3),160,-0.956455990426925,0.4092295464483134,-1.7585459014656193,-0.15436607938823077
15_(1;3)_320,15_by_15_maze_6,(1;3),320,-0.6703962506911171,0.6254342766921744,-1.8962474330077788,0.5554549316255447
15_(10;11)_320,15_by_15_maze_6,(10;11),320,-0.314570754582893,0.8855328800564289,-2.050215199493494,1.4210736903277077
15_(12;1)_160,15_by_15_maze_6,(12;1),160,-0.2725798081266429,0.7955857722590185,-1.8319279217543192,1.2867683055010335
15_(12;1)_320,15_by_15_maze_6,(12;1),320,-0.4194599504398791,0.7582278447752105,-1.9055865261992917,1.0666666253195336
15_(3;5)_320,15_by_15_maze_6,(3;5),320,0.7226639626616813,1.0096452459548477,-1.2562407194098202,2.701568644733183
15_(5;14)_320,15_by_15_maze_6,(5;14),320,-0.19063138973966848,0.6992342205602121,-1.5611304620376842,1.1798676825583472
15_(5;15)_320,15_by_15_maze_6,(5;15),320,-0.13126704613801685,0.9419138116009524,-1.9774181168758835,1.71488402459985
15_(6;7)_320,15_by_15_maze_6,(6;7),320,-0.4653738144946605,0.7227219841326239,-1.8819089033946033,0.9511612744052824
15_(7;15)_320,15_by_15_maze_6,(7;15),320,0.6446787334284673,1.066946546876625,-1.446536498449718,2.7358939653066523
15_(7;5)_320,15_by_15_maze_6,(7;5),320,0.44635403056864265,0.8514257073316925,-1.2224403558014747,2.11514841693876
15_(7;7)_320,15_by_15_maze_6,(7;7),320,-0.36498793329275053,0.8783214292796816,-2.0864979346809265,1.3565220680954253
7_(4;1)_200,7_by_7_maze_4,(4;1),200,-0.10432957044854575,0.9429126800424658,-1.9524384233317786,1.743779282434687
7_(5;1)_200,7_by_7_maze_4,(5;1),200,-0.4852721277342606,0.7790637433582749,-2.012237064716479,1.041692809247958
7_(5;1)_320,7_by_7_maze_4,(5;1),320,-0.4044344942862297,0.7555072022897005,-1.8852286107740426,1.0763596222015832
7_(6;3)_200,7_by_7_maze_4,(6;3),200,1.0327940135571307,0.7876251242495432,-0.5109512299719741,2.5765392570862353
7_(7;1)_200,7_by_7_maze_4,(7;1),200,1.0868420552023264,0.7086431245052678,-0.3020984688279984,2.475782579232651
