model_name, maze_name, pause_location, pause_time, mean_time_distracted, time_thinking, sd_time_distracted
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 270.0, 95.03794992410015, 174.96205007589987
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 200.0, 71.96897606204787, 128.0310239379521
shuffle, 7_by_7_maze_4, Coordinate(5; 1), 370.0, 169.251641496717, 200.748358503283
shuffle, 7_by_7_maze_4, Coordinate(7; 1), 200.0, 101.89281621436757, 98.10718378563243
shuffle, 7_by_7_maze_4, Coordinate(4; 1), 200.0, 61.57915684168632, 138.4208431583137
shuffle, 7_by_7_maze_4, Coordinate(6; 3), 200.0, 139.81996036007928, 60.18003963992072
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 320.0, 63.09163381673237, 256.9083661832676
shuffle, 10_by_10_maze_2, Coordinate(10; 2), 320.0, 117.93594412811174, 202.06405587188826
shuffle, 10_by_10_maze_2, Coordinate(6; 1), 320.0, 60.558538882922235, 259.4414611170778
shuffle, 10_by_10_maze_2, Coordinate(10; 8), 320.0, 261.3283373433253, 58.6716626566747
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 400.0, 115.14826970346058, 284.8517302965394
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 200.0, 19.48490103019794, 180.51509896980207, 19.007895004988193
shuffle, 10_by_10_maze_2, Coordinate(7; 1), 500.0, 148.18362363275273, 351.81637636724724, 98.4186616973329
